,word,val,no
14,1,,pengabaian
15,1,,penculikan
16,1,,tiba-tiba
17,1,,kecelakaan
18,1,,kebetulan
19,1,,sengaja
20,1,,penghargaan
21,1,,muka
22,1,,menghina
23,1,,kaget
24,1,,alarm
25,1,,mengkhawatirkan
26,1,,kewaspadaan
27,1,,peringatan
28,1,,daya pikat
29,1,,takjub
30,1,,luar biasa
31,1,,penyergapan
32,1,,malaikat
33,1,,anomali
34,1,,penampakan
35,1,,tepuk tangan
36,1,,seni
37,1,,aspirasi
38,1,,menyerang
39,1,,penilaian
40,1,,secara mengejutkan
41,1,,keheranan
42,1,,menyerang
43,1,,longsoran salju
44,1,,penghargaan
45,1,,bang
46,1,,banger
47,1,,mengkhianati
48,1,,bingung
49,1,,kebingungan
50,1,,ulang tahun
51,1,,aneh
52,1,,ledakan
53,1,,berkah
54,1,,penutup mata
55,1,,kilat
56,1,,pertumpahan darah
57,1,,bom
58,1,,bonus
59,1,,istirahat
60,1,,mencerahkan
61,1,,uang
62,1,,bahan tertawaan
63,1,,kabel
64,1,,mayat
65,1,,kamuflase
66,1,,kamuflase
67,1,,jujur
68,1,,menawan
69,1,,pembantaian
70,1,,bencana
71,1,,tangkap
72,1,,perayaan
73,1,,selebriti
74,1,,upacara
75,1,,kesempatan
76,1,,dapat diubah
77,1,,nyanyian
78,1,,bersorak
79,1,,ceria
80,1,,hargai
81,1,,penipuan
82,1,,chimera
83,1,,terkekeh
84,1,,teriakan
85,1,,klimaks
86,1,,badut
87,1,,kebetulan
88,1,,kompensasi
89,1,,pelengkap
90,1,,pujian
91,1,,tersembunyi
92,1,,pengakuan
93,1,,sulap
94,1,,kudeta
95,1,,kecelakaan
96,1,,krim
97,1,,crescendo
98,1,,mahkota
99,1,,rasa ingin tahu
100,1,,siklon
101,1,,daemon
102,1,,fajar
103,1,,kesepakatan
104,1,,kematian
105,1,,penipuan
106,1,,umpan
107,1,,menentang
108,1,,senang
109,1,,banjir
110,1,,tujuan
111,1,,meledakkan
112,1,,kehancuran
113,1,,berbeda
114,1,,mengerikan
115,1,,bencana
116,1,,cemas
117,1,,pemecatan
118,1,,gangguan
119,1,,pembubaran
120,1,,kesusahan
121,1,,gangguan
122,1,,divergen
123,1,,pengalihan
124,1,,perceraian
125,1,,lumba-lumba
126,1,,mengerikan
127,1,,dinamis
128,1,,bersemangat
129,1,,gempa bumi
130,1,,gembira
131,1,,ejakulasi
132,1,,listrik
133,1,,sulit dipahami
134,1,,rasa malu
135,1,,pelukan
136,1,,darurat
137,1,,mempesona
138,1,,meramaikan
139,1,,hiburan
140,1,,semangat
141,1,,antusias
142,1,,epidemi
143,1,,erotis
144,1,,tidak menentu
145,1,,meletus
146,1,,letusan
147,1,,evanescence
148,1,,pemeriksaan
149,1,,penggalian
150,1,,unggul
151,1,,eksitasi
152,1,,menggairahkan
153,1,,bersemangat
154,1,,kegembiraan
155,1,,seru
156,1,,seru
157,1,,kegembiraan
158,1,,mendesak
159,1,,harapkan
160,1,,percobaan
161,1,,meledak
162,1,,ledakan
163,1,,eksplosif
164,1,,pingsan
165,1,,kemeriahan
166,1,,menguntungkan
167,1,,dengan ketakutan
168,1,,prestasi
169,1,,perasaan
170,1,,festival
171,1,,pesta
172,1,,pesta
173,1,,akhirnya
174,1,,tersentak
175,1,,main mata
176,1,,kebetulan
177,1,,meramalkan
178,1,,rejeki
179,1,,panik
180,1,,aneh
181,1,,hingar bingar
182,1,,ketakutan
183,1,,menakut-nakuti
184,1,,ketakutan
185,1,,lincah
186,1,,penjudi
187,1,,perjudian
188,1,,melongo
189,1,,norak
190,1,,terkesiap
191,1,,melongo
192,1,,kemurahan hati
193,1,,hadiah
194,1,,secercah
195,1,,memuliakan
196,1,,anugerah
197,1,,bagus
198,1,,kebaikan
199,1,,kelulusan
200,1,,memuaskan
201,1,,kebesaran
202,1,,salam
203,1,,menyeringai
204,1,,tebak
205,1,,menelan
206,1,,hal
207,1,,hermafrodit
208,1,,pahlawan
209,1,,heroik
210,1,,kepahlawanan
211,1,,tertinggi
212,1,,lucu
213,1,,tipuan
214,1,,kesucian
215,1,,bulan madu
216,1,,harapan
217,1,,penuh harapan
218,1,,gerombolan
219,1,,horor
220,1,,melolong
221,1,,kemanusiaan
222,1,,hipertrofi
223,1,,hipotesis
224,1,,tidak sah
225,1,,menerangi
226,1,,iluminasi
227,1,,ilusi
228,1,,kesegeraan
229,1,,rendam
230,1,,improvisasi
231,1,,berimprovisasi
232,1,,pembakar
233,1,,insiden
234,1,,inkontinensia
235,1,,kemerdekaan
236,1,,tidak dapat dijelaskan
237,1,,bayi
238,1,,infark
239,1,,jarang
240,1,,warisan
241,1,,kebangkrutan
242,1,,terinspirasi
243,1,,penghinaan
244,1,,intens
245,1,,interupsi
246,1,,intrik
247,1,,penyusup
248,1,,mengganggu
249,1,,menyerang
250,1,,mengundang
251,1,,mengundang
252,1,,jackpot
253,1,,brengsek
254,1,,bercanda
255,1,,pelawak
256,1,,sentakan
257,1,,bergembira
258,1,,yubileum
259,1,,penghakiman
260,1,,menculik
261,1,,ciuman
262,1,,tenaga kerja
263,1,,lebih besar
264,1,,laten
265,1,,tertawa
266,1,,tawa
267,1,,gugatan
268,1,,pergi
269,1,,curiga
270,1,,rekreasi
271,1,,membebaskan
272,1,,pembebasan
273,1,,kebebasan
274,1,,petir
275,1,,kalah
276,1,,indah
277,1,,setia
278,1,,keberuntungan
279,1,,beruntung
280,1,,sepak terjang
281,1,,ajaib
282,1,,pesulap
283,1,,luar biasa
284,1,,megah
285,1,,pembunuhan
286,1,,menikah
287,1,,keajaiban
288,1,,medali
289,1,,mudah diingat
290,1,,kegembiraan
291,1,,mimikri
292,1,,keajaiban
293,1,,ajaib
294,1,,perilaku buruk
295,1,,kecelakaan
296,1,,memodifikasi
297,1,,uang
298,1,,keburukan
299,1,,moral
300,1,,mulut
301,1,,pembunuhan
302,1,,pembunuh
303,1,,musikal
304,1,,pemberontakan
305,1,,misterius
306,1,,misteri
307,1,,mistik
308,1,,nab
309,1,,jahat
310,1,,pendatang baru
311,1,,membatalkan
312,1,,kematian
313,1,,mewajibkan
314,1,,sesekali
315,1,,keanehan
316,1,,opera
317,1,,optimisme
318,1,,cobaan
319,1,,organisasi
320,1,,orisinalitas
321,1,,ledakan
322,1,,protes
323,1,,keterlaluan
324,1,,terlambat
325,1,,melebih-lebihkan
326,1,,teraba
327,1,,pang
328,1,,pawai
329,1,,damai
330,1,,mungkin
331,1,,kesempurnaan
332,1,,peri
333,1,,sumpah palsu
334,1,,piknik
335,1,,perangkap
336,1,,plakat
337,1,,menyenangkan
338,1,,taman bermain
339,1,,menyenangkan
340,1,,penjarahan
341,1,,polaritas
342,1,,pop
343,1,,penundaan
344,1,,diamalkan
345,1,,terpuji
346,1,,lelucon
347,1,,berdoa
348,1,,berharga
349,1,,prematur
350,1,,hadir
351,1,,pengawet
352,1,,presto
353,1,,tusukan
354,1,,pangeran
355,1,,arak-arakan
356,1,,kecakapan
357,1,,berkeliaran
358,1,,puma
359,1,,pukulan
360,1,,kemurnian
361,1,,kecepatan
362,1,,raksa
363,1,,kutipan
364,1,,undian
365,1,,penggerebekan
366,1,,secara acak
367,1,,cepat
368,1,,rakus
369,1,,kelangkaan
370,1,,sambutan hangat
371,1,,mengoceh
372,1,,muncul kembali
373,1,,menerima
374,1,,kecerobohan
375,1,,refleks
376,1,,bergembira
377,1,,bergembira
378,1,,menghidupkan kembali
379,1,,luar biasa
380,1,,penyelamatan
381,1,,pengunduran diri
382,1,,balas dendam
383,1,,pembalikan
384,1,,pemberontakan
385,1,,revolusi
386,1,,imbalan
387,1,,ritmis
388,1,,teka-teki
389,1,,rusuh
390,1,,asmara
391,1,,pecah
392,1,,sabotase
393,1,,suci
394,1,,suci
395,1,,sally
396,1,,menguduskan
397,1,,menakut-nakuti
398,1,,skor
399,1,,kalajengking
400,1,,berteriak
401,1,,memekik
402,1,,latihan sepak bola
403,1,,kerahasiaan
404,1,,tidak masuk akal
405,1,,sensual
406,1,,pecah
407,1,,cangkang
408,1,,syok
409,1,,mengejutkan
410,1,,belanja
411,1,,tembakan
412,1,,berteriak
413,1,,pekik
414,1,,melengking
415,1,,sederhanakan
416,1,,tunggal
417,1,,persaudaraan
418,1,,banting
419,1,,tamparan
420,1,,pembantaian
421,1,,penyembelihan
422,1,,pembunuh
423,1,,tergelincir
424,1,,lumpur
425,1,,senyum
426,1,,halangan
427,1,,menyelinap
428,1,,bersin
429,1,,somatik
430,1,,ilmu sihir
431,1,,spa
432,1,,berkilau
433,1,,spektakuler
434,1,,roh
435,1,,percikan
436,1,,indah
437,1,,kemegahan
438,1,,menusuk
439,1,,terhuyung-huyung
440,1,,mengejutkan
441,1,,mengejutkan
442,1,,mantap
443,1,,siluman
444,1,,secara diam-diam
445,1,,diam-diam
446,1,,mencekik
447,1,,tertegun
448,1,,subito
449,1,,subversif
450,1,,berhasil
451,1,,tiba-tiba
452,1,,tiba-tiba
453,1,,matahari
454,1,,cerah
455,1,,supremasi
456,1,,lonjakan
457,1,,kejutan
458,1,,terkejut
459,1,,mengejutkan
460,1,,mengejutkan
461,1,,ketegangan
462,1,,manis
463,1,,berbelok
464,1,,sinkronisasi
465,1,,sinkop
466,1,,mengatasi
467,1,,menggoda
468,1,,mengajar
469,1,,badai
470,1,,teroris
471,1,,pencuri
472,1,,haus
473,1,,sensasi
474,1,,mendebarkan
475,1,,menggagalkan
476,1,,menggelitik
477,1,,tumbang
478,1,,transendensi
479,1,,pengkhianatan
480,1,,pengkhianatan
481,1,,mengobati
482,1,,pohon
483,1,,gentar
484,1,,trik
485,1,,tipu daya
486,1,,perjalanan
487,1,,piala
488,1,,truf
489,1,,keributan
490,1,,tidak terduga
491,1,,tak terkalahkan
492,1,,tak terkendali
493,1,,luar biasa
494,1,,tidak pasti
495,1,,tidak terkendali
496,1,,mengungkap
497,1,,meremehkan
498,1,,belum ditemukan
499,1,,tak terduga
500,1,,tak terduga
501,1,,tak terduga
502,1,,tidak terpenuhi
503,1,,tidak terjaga
504,1,,tak terbayangkan
505,1,,tidak disengaja
506,1,,tidak disengaja
507,1,,tidak sengaja
508,1,,unik
509,1,,belum pernah terjadi sebelumnya
510,1,,tidak dapat diprediksi
511,1,,tidak stabil
512,1,,tidak curiga
513,1,,urgensi
514,1,,mendesak
515,1,,menghilang
516,1,,menghilang
517,1,,variabel
518,1,,membelok
519,1,,kebenaran
520,1,,menjadi korban
521,1,,pelanggaran
522,1,,kekerasan
523,1,,pelindung
524,1,,volatilitas
525,1,,gunung berapi
526,1,,suara
527,1,,peringatkan
528,1,,diperingatkan
529,1,,berat
530,1,,iseng
531,1,,liar
532,1,,kebakaran hutan
533,1,,pemenang
534,1,,menang
535,1,,nirkabel
536,1,,penyihir
537,1,,luar biasa
538,1,,luar biasa
539,1,,cacing
540,1,,kecelakaan
541,1,,berteriak
542,1,,menyalak
543,1,,pemuda
544,1,,lucu
545,1,,semangat
